"Reported Date","Suburb - Incident","Postcode - Incident","Offence Level 1 Description","Offence Level 2 Description","Offence Level 3 Description","Offence count"
"26/07/2022","MORPHETT VALE","5162","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Other fraud, deception and related offences","1"
"26/07/2022","MORPHETT VALE","5162","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Property damage by fire or explosion","1"
"26/07/2022","MORPHETT VALE","5162","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"26/07/2022","MORPHETT VALE","5162","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"26/07/2022","MOUNT BARKER","5251","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","MOUNT GAMBIER","5290","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"26/07/2022","MOUNT GAMBIER","5290","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"26/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"26/07/2022","MURRAY BRIDGE","5253","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Dangerous or negligent acts","1"
"26/07/2022","NAILSWORTH","5083","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","NAILSWORTH","5083","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","NETLEY","5037","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","NOARLUNGA CENTRE","5168","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Graffiti","1"
"26/07/2022","NOARLUNGA CENTRE","5168","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"26/07/2022","NORTH ADELAIDE","5006","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","2"
"26/07/2022","NORTH ADELAIDE","5006","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","NORTH PLYMPTON","5037","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","NORWOOD","5067","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","NOT DISCLOSED","NOT DISCLOSED","OFFENCES AGAINST THE PERSON","SEXUAL ASSAULT AND RELATED OFFENCES","Aggravated sexual assault","3"
"26/07/2022","NOT DISCLOSED","NOT DISCLOSED","OFFENCES AGAINST THE PERSON","SEXUAL ASSAULT AND RELATED OFFENCES","Non-assaultive sexual offences","1"
"26/07/2022","NURIOOTPA","5355","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"26/07/2022","OAKLANDS PARK","5046","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"26/07/2022","OAKLANDS PARK","5046","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","4"
"26/07/2022","OAKLANDS PARK","5046","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","OAKLANDS PARK","5046","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"26/07/2022","PARAFIELD GARDENS","5107","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","PARA HILLS","5096","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","2"
"26/07/2022","PARA HILLS","5096","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"26/07/2022","PARA HILLS WEST","5096","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","PARK HOLME","5043","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","PASADENA","5042","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","PETERBOROUGH","5422","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","PLYMPTON","5038","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","PLYMPTON PARK","5038","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"26/07/2022","PLYMPTON PARK","5038","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"26/07/2022","POORAKA","5095","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","POORAKA","5095","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"26/07/2022","POORAKA","5095","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","PORT ADELAIDE","5015","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"26/07/2022","PORT ADELAIDE","5015","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","PORT ADELAIDE","5015","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"26/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"26/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","PORT AUGUSTA","5700","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"26/07/2022","PORT AUGUSTA WEST","5700","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"26/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"26/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","PORT LINCOLN","5606","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","1"
"26/07/2022","PROSPECT","5082","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","PROSPECT","5082","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","REGENCY PARK","5010","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"26/07/2022","RENOWN PARK","5008","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","RICHMOND","5033","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","2"
"26/07/2022","RICHMOND","5033","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"26/07/2022","RICHMOND","5033","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","3"
"26/07/2022","RIDGEHAVEN","5097","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","RIDGEHAVEN","5097","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","RISDON PARK","5540","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","ROSTREVOR","5073","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","ROSTREVOR","5073","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","SALISBURY","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","2"
"26/07/2022","SALISBURY","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","SALISBURY","5108","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","3"
"26/07/2022","SALISBURY","5108","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"26/07/2022","SALISBURY DOWNS","5108","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","SEACOMBE GARDENS","5047","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"26/07/2022","SEAFORD","5169","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","SEAFORD MEADOWS","5169","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","SEATON","5023","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","SEATON","5023","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","SEFTON PARK","5083","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","SHEIDOW PARK","5158","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","SMITHFIELD","5114","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","SMITHFIELD","5114","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","SOLOMONTOWN","5540","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","ST MARYS","5042","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","ST MARYS","5042","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Threatening behaviour","3"
"26/07/2022","SURREY DOWNS","5126","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","TAPEROO","5017","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","THEBARTON","5031","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","TORRENSVILLE","5031","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"26/07/2022","TORRENSVILLE","5031","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","TORRENSVILLE","5031","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","VALLEY VIEW","5093","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","VICTOR HARBOR","5211","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"26/07/2022","VICTOR HARBOR","5211","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"26/07/2022","WALLAROO","5556","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"26/07/2022","WALLAROO","5556","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"26/07/2022","WALLAROO","5556","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","3"
"26/07/2022","WALLAROO","5556","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"26/07/2022","WALLAROO","5556","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","2"
"26/07/2022","WAYVILLE","5034","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","WEST BEACH","5024","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","WEST BEACH","5024","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"26/07/2022","WEST LAKES","5021","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","WEST LAKES","5021","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"26/07/2022","WHYALLA NORRIE","5608","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"26/07/2022","WHYALLA NORRIE","5608","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","WHYALLA NORRIE","5608","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Assault police","1"
"26/07/2022","WHYALLA NORRIE","5608","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","WHYALLA STUART","5608","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","3"
"26/07/2022","WHYALLA STUART","5608","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","WILLASTON","5118","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"26/07/2022","WILLIAMSTOWN","5351","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Graffiti","1"
"26/07/2022","WILLIAMSTOWN","5351","OFFENCES AGAINST THE PERSON","HOMICIDE AND RELATED OFFENCES","Murder","1"
"26/07/2022","WOODCROFT","5162","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"26/07/2022","WOODCROFT","5162","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","WOODVILLE","5011","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"26/07/2022","WOODVILLE","5011","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","WOODVILLE","5011","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","WOODVILLE NORTH","5012","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"26/07/2022","WOODVILLE PARK","5011","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"26/07/2022","WOODVILLE PARK","5011","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","WOODVILLE SOUTH","5011","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"26/07/2022","WOODVILLE WEST","5011","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"26/07/2022","","","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","6"
"26/07/2022","","","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Other fraud, deception and related offences","1"
"26/07/2022","","","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","2"
"27/07/2022","ADELAIDE","5000","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"27/07/2022","ADELAIDE","5000","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"27/07/2022","ADELAIDE","5000","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","3"
"27/07/2022","ADELAIDE","5000","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","9"
"27/07/2022","ADELAIDE","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","2"
"27/07/2022","AMATA","0872","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"27/07/2022","ANDREWS FARM","5114","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"27/07/2022","ASHBOURNE","5157","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"27/07/2022","BANKSIA PARK","5091","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"27/07/2022","BEDFORD PARK","5042","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"27/07/2022","BEDFORD PARK","5042","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","BEULAH PARK","5067","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","BEULAH PARK","5067","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"27/07/2022","BEVERLEY","5009","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"27/07/2022","BEVERLEY","5009","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","BLACK FOREST","5035","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","BLAKEVIEW","5114","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"27/07/2022","BRAHMA LODGE","5109","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","BROADVIEW","5083","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","BROADVIEW","5083","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"27/07/2022","BROMPTON","5007","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","BURTON","5110","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"27/07/2022","BURTON","5110","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","1"
"27/07/2022","BURTON","5110","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Receive or handle proceeds of crime","1"
"27/07/2022","BURTON","5110","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"27/07/2022","CAMPBELLTOWN","5074","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"27/07/2022","CEDUNA","5690","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","CHRISTIE DOWNS","5164","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","CHRISTIES BEACH","5165","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"27/07/2022","CLAPHAM","5062","OFFENCES AGAINST PROPERTY","FRAUD DECEPTION AND RELATED OFFENCES","Obtain benefit by deception","1"
"27/07/2022","CLAPHAM","5062","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","2"
"27/07/2022","CLEARVIEW","5085","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"27/07/2022","CLOVELLY PARK","5042","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"27/07/2022","COLLINSWOOD","5081","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","COMMONWEALTH HILL","5719","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","Other unlawful entry with intent","2"
"27/07/2022","COMMONWEALTH HILL","5719","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Non Residence","1"
"27/07/2022","COOBER PEDY","5723","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","COOBER PEDY","5723","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"27/07/2022","CRAIGMORE","5114","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"27/07/2022","CROYDON PARK","5008","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"27/07/2022","CUMBERLAND PARK","5041","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"27/07/2022","DAVOREN PARK","5113","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","DAVOREN PARK","5113","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"27/07/2022","DOVER GARDENS","5048","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Assault police","1"
"27/07/2022","EDINBURGH NORTH","5113","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"27/07/2022","ELIZABETH","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","ELIZABETH","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"27/07/2022","ELIZABETH DOWNS","5113","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","ELIZABETH DOWNS","5113","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","2"
"27/07/2022","ELIZABETH DOWNS","5113","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"27/07/2022","ELIZABETH DOWNS","5113","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"27/07/2022","ELIZABETH EAST","5112","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"27/07/2022","ELIZABETH NORTH","5113","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"27/07/2022","ELIZABETH SOUTH","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","ELIZABETH SOUTH","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"27/07/2022","ELIZABETH VALE","5112","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
"27/07/2022","ENCOUNTER BAY","5211","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","ENCOUNTER BAY","5211","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","EVANSTON PARK","5116","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","FINDON","5023","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","FINDON","5023","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","FINDON","5023","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"27/07/2022","FINDON","5023","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","2"
"27/07/2022","FLINDERS PARK","5025","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"27/07/2022","FLINDERS PARK","5025","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"27/07/2022","GAWLER","5118","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from shop","1"
"27/07/2022","GAWLER SOUTH","5118","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"27/07/2022","GEPPS CROSS","5094","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","GILLES PLAINS","5086","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft from motor vehicle","1"
"27/07/2022","GLANDORE","5037","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
"27/07/2022","GLENELG","5045","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Other theft","1"
